SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,puntos
2020-2021,Paris Saint-Germain,12,6,1,5,22,15,19
2020-2021,RB Salzburg,6,1,1,4,10,17,4
2020-2021,Lokomotiv Moskva,6,0,3,3,5,10,3
2020-2021,Bayern München,10,8,1,1,27,10,25
2020-2021,Atlético Madrid,8,2,3,3,7,11,9
2020-2021,Real Madrid,12,6,3,3,19,14,21
2020-2021,Shakhtar Donetsk,6,2,2,2,5,12,8
2020-2021,Inter,6,1,3,2,7,9,6
2020-2021,Bor. Mönchengladbach,8,2,2,4,16,13,8
2020-2021,Manchester City,13,11,1,1,25,5,34
2020-2021,FC Porto,10,6,1,3,15,9,19
2020-2021,Olympiakos Piraeus,6,1,0,5,2,10,3
2020-2021,Olympique Marseille,6,1,0,5,2,13,3
2020-2021,RB Leipzig,8,4,0,4,11,16,12
2020-2021,AFC Ajax,6,2,1,3,7,7,7
2020-2021,FC Midtjylland,6,0,2,4,4,13,2
2020-2021,Atalanta,8,3,2,3,11,12,11
2020-2021,Chelsea FC,13,9,3,1,23,4,30
2020-2021,Sevilla FC,8,4,2,2,13,13,14
2020-2021,Stade Rennes,6,0,1,5,3,11,1
2020-2021,FK Krasnodar,6,1,2,3,6,11,5
2020-2021,Zenit St. Petersburg,6,0,1,5,4,13,1
2020-2021,Club Brugge KV,6,2,2,2,8,10,8
2020-2021,Lazio Roma,8,2,4,2,13,13,10
2020-2021,Borussia Dortmund,10,5,2,3,19,13,17
2020-2021,Dinamo Kiev,6,1,1,4,4,13,4
2020-2021,Juventus,8,6,0,2,18,8,18
2020-2021,Liverpool FC,10,6,2,2,15,6,20
2020-2021,İstanbul Başakşehir,6,1,0,5,7,18,3
2020-2021,Ferencvárosi TC,6,0,1,5,5,17,1
2020-2021,Manchester United,6,3,0,3,15,10,9
2020-2021,FC Barcelona,8,5,1,2,18,10,16
2021-2022,Sevilla FC,6,1,3,2,5,5,6
2021-2022,Manchester City,12,7,2,3,29,16,23
2021-2022,RB Leipzig,6,2,1,3,15,14,7
2021-2022,Club Brugge KV,6,1,1,4,6,20,4
2021-2022,Paris Saint-Germain,8,4,2,2,15,11,14
2021-2022,Atlético Madrid,10,3,3,4,9,10,12
2021-2022,FC Porto,6,1,2,3,4,11,5
2021-2022,Liverpool FC,13,10,1,2,30,14,31
2021-2022,AC Milan,6,1,1,4,6,9,4
2021-2022,Beşiktaş,6,0,0,6,3,19,0
2021-2022,Borussia Dortmund,6,3,0,3,10,11,9
2021-2022,Sporting CP,8,3,1,4,14,17,10
2021-2022,AFC Ajax,8,6,1,1,22,8,19
2021-2022,FC Sheriff,6,2,1,3,7,11,7
2021-2022,Shakhtar Donetsk,6,0,2,4,2,12,2
2021-2022,Inter,8,4,1,3,9,7,13
2021-2022,Real Madrid,13,9,0,4,29,14,27
2021-2022,FC Barcelona,6,2,1,3,2,9,7
2021-2022,Bayern München,10,7,2,1,31,7,23
2021-2022,Dinamo Kiev,6,0,1,5,1,11,1
2021-2022,SL Benfica,10,3,4,3,14,17,13
2021-2022,BSC Young Boys,6,1,2,3,7,12,5
2021-2022,Manchester United,8,3,3,2,12,10,12
2021-2022,Villarreal CF,12,5,3,4,20,16,18
2021-2022,Atalanta,6,1,3,2,12,13,6
2021-2022,VfL Wolfsburg,6,1,2,3,5,10,5
2021-2022,RB Salzburg,8,3,2,3,10,14,11
2021-2022,Lille OSC,8,3,2,3,8,8,11
2021-2022,Zenit St. Petersburg,6,1,2,3,10,10,5
2021-2022,Malmö FF,6,0,1,5,1,14,1
2021-2022,Chelsea FC,10,7,1,2,21,10,22
2021-2022,Juventus,8,5,1,2,11,10,16
2022-2023,Inter,13,7,3,3,19,11,24
2022-2023,Real Madrid,12,8,2,2,26,13,26
2022-2023,AC Milan,12,5,3,4,15,11,18
2022-2023,SL Benfica,10,6,3,1,26,13,21
2022-2023,Bayern München,10,8,1,1,22,6,25
2022-2023,SSC Napoli,10,7,1,2,26,8,22
2022-2023,Chelsea FC,10,5,1,4,12,9,16
2022-2023,Liverpool FC,8,5,0,3,19,12,15
2022-2023,Eintracht Frankfurt,8,3,1,4,7,13,10
2022-2023,RB Leipzig,8,4,1,3,14,17,13
2022-2023,FC Porto,8,4,1,3,12,8,13
2022-2023,Tottenham Hotspur,8,3,3,2,8,7,12
2022-2023,Paris Saint-Germain,8,4,2,2,16,10,14
2022-2023,Borussia Dortmund,8,3,3,2,11,7,12
2022-2023,RB Salzburg,6,1,3,2,5,9,6
2022-2023,Sevilla FC,6,1,2,3,6,12,5
2022-2023,Maccabi Haifa,6,1,0,5,7,21,3
2022-2023,Juventus,6,1,0,5,9,13,3
2022-2023,FC Copenhagen,6,0,3,3,1,12,3
2022-2023,Dinamo Zagreb,6,1,1,4,4,11,4
2022-2023,Celtic FC,6,0,2,4,4,15,2
2022-2023,Shakhtar Donetsk,6,1,3,2,8,10,6
2022-2023,Viktoria PlzeÅˆ,6,0,0,6,5,24,0
2022-2023,FC Barcelona,6,2,1,3,12,12,7
2022-2023,Sporting CP,6,2,1,3,8,9,7
2022-2023,Rangers,6,0,0,6,2,22,0
2022-2023,AFC Ajax,6,2,0,4,11,16,6
2022-2023,Olympique Marseille,6,2,0,4,8,8,6
2022-2023,Club Brugge KV,8,3,2,3,8,11,11
2022-2023,Manchester City,13,8,5,0,32,5,29
2022-2023,Bayer Leverkusen,6,1,2,3,4,8,5
2022-2023,AtlÃ©tico de Madrid,6,1,2,3,5,9,5
2023-2024,Antwerp,6,1,0,5,6,17,3
2023-2024,FC Copenhagen,7,2,2,3,9,11,8
2023-2024,Galatasaray,6,1,2,3,10,13,5
2023-2024,Manchester Utd,6,1,1,4,12,15,4
2023-2024,Arsenal,7,4,1,2,16,5,13
2023-2024,PSV Eindhoven,7,2,4,1,9,11,10
2023-2024,Lens,6,2,2,2,6,11,8
2023-2024,Sevilla,6,0,2,4,7,12,2
2023-2024,Real Madrid,7,7,0,0,17,7,21
2023-2024,Napoli,7,3,2,2,11,10,11
2023-2024,Braga,6,1,1,4,6,12,4
2023-2024,Union Berlin,6,0,2,4,6,10,2
2023-2024,Real Sociedad,7,3,3,1,7,4,12
2023-2024,Inter,7,4,3,0,9,5,15
2023-2024,Benfica,6,1,1,4,7,11,4
2023-2024,RB Salzburg,6,1,1,4,4,8,4
2023-2024,Lazio,7,4,1,2,8,7,13
2023-2024,Feyenoord,6,2,0,4,9,10,6
2023-2024,Celtic,6,1,1,4,5,15,4
2023-2024,Dortmund,7,3,3,1,8,5,12
2023-2024,Paris S-G,7,3,2,2,11,8,11
2023-2024,Milan,6,2,2,2,5,8,8
2023-2024,Newcastle Utd,6,1,2,3,6,7,5
2023-2024,Manchester City,7,7,0,0,21,8,21
2023-2024,RB Leipzig,7,4,0,3,13,11,12
2023-2024,Young Boys,6,1,1,4,7,13,4
2023-2024,Red Star,6,0,1,5,7,15,1
2023-2024,Barcelona,7,4,1,2,13,7,13
2023-2024,Porto,7,5,0,2,16,8,15
2023-2024,Shakhtar,6,3,0,3,10,12,9
2023-2024,Atlético Madrid,7,4,2,1,17,7,14
2023-2024,Bayern Munich,7,5,1,1,12,7,16
