SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,puntos
2020-2021,RB Salzburg,6,1,1,4,10,17,0
2020-2021,Lokomotiv Moskva,6,0,3,3,5,10,0
2020-2021,Bayern München,10,8,1,1,27,10,3
2020-2021,Atlético Madrid,8,2,3,3,7,11,0
2020-2021,Real Madrid,12,6,3,3,19,14,0
2020-2021,Shakhtar Donetsk,6,2,2,2,5,12,1
2020-2021,Inter,6,1,3,2,7,9,1
2020-2021,Bor. Mönchengladbach,8,2,2,4,16,13,0
2020-2021,Manchester City,13,11,1,1,25,5,0
2020-2021,FC Porto,10,6,1,3,15,9,3
2020-2021,Olympiakos Piraeus,6,1,0,5,2,10,0
2020-2021,Olympique Marseille,6,1,0,5,2,13,0
2020-2021,AFC Ajax,6,2,1,3,7,7,0
2020-2021,Liverpool FC,10,6,2,2,15,6,1
2020-2021,FC Midtjylland,6,0,2,4,4,13,1
2020-2021,Atalanta,8,3,2,3,11,12,0
2020-2021,Chelsea FC,13,9,3,1,23,4,3
2020-2021,Sevilla FC,8,4,2,2,13,13,1
2020-2021,Stade Rennes,6,0,1,5,3,11,0
2020-2021,FK Krasnodar,6,1,2,3,6,11,1
2020-2021,Zenit St. Petersburg,6,0,1,5,4,13,0
2020-2021,Club Brugge KV,6,2,2,2,8,10,1
2020-2021,Lazio Roma,8,2,4,2,13,13,0
2020-2021,Borussia Dortmund,10,5,2,3,19,13,0
2020-2021,Dinamo Kiev,6,1,1,4,4,13,3
2020-2021,Juventus,8,6,0,2,18,8,3
2020-2021,FC Barcelona,8,5,1,2,18,10,1
2020-2021,Ferencvárosi TC,6,0,1,5,5,17,0
2020-2021,RB Leipzig,8,4,0,4,11,16,0
2020-2021,İstanbul Başakşehir,6,1,0,5,7,18,0
2020-2021,Paris Saint-Germain,12,6,1,5,22,15,0
2020-2021,Manchester United,6,3,0,3,15,10,0
