SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,puntos
2016-2017,FC Basel,6,0,2,4,3,12,0
2016-2017,PFC Ludogorets Razgrad,6,0,3,3,6,15,1
2016-2017,Paris Saint-Germain,8,4,3,1,18,13,0
2016-2017,Arsenal FC,8,4,2,2,20,16,0
2016-2017,Dinamo Kiev,6,1,2,3,8,6,3
2016-2017,SSC Napoli,8,3,2,3,13,14,0
2016-2017,SL Benfica,8,3,2,3,11,14,0
2016-2017,Beşiktaş,6,1,4,1,9,14,0
2016-2017,FC Barcelona,10,6,1,3,26,12,1
2016-2017,Celtic FC,6,0,3,3,5,16,1
2016-2017,Manchester City,8,3,3,2,18,16,0
2016-2017,Bor. Mönchengladbach,6,1,2,3,5,12,0
2016-2017,Bayern München,10,6,0,4,27,14,0
2016-2017,FK Rostov,6,1,2,3,6,12,1
2016-2017,PSV Eindhoven,6,0,2,4,4,11,1
2016-2017,Atlético Madrid,12,8,2,2,15,9,3
2016-2017,Bayer Leverkusen,8,2,5,1,10,8,1
2016-2017,CSKA Moskva,6,0,3,3,5,11,0
2016-2017,Tottenham Hotspur,6,2,1,3,6,6,3
2016-2017,AS Monaco,12,6,2,4,22,20,0
2016-2017,Legia Warszawa,6,1,1,4,9,24,3
2016-2017,Borussia Dortmund,10,5,2,3,28,16,0
2016-2017,Real Madrid,13,9,3,1,36,18,3
2016-2017,Sporting CP,6,1,0,5,5,8,0
2016-2017,Club Brugge KV,6,0,0,6,2,14,0
2016-2017,Leicester City,10,5,2,3,11,10,1
2016-2017,FC Porto,8,3,2,3,9,6,0
2016-2017,FC København,6,2,3,1,7,2,3
2016-2017,Juventus,13,9,3,1,22,7,0
2016-2017,Sevilla FC,8,4,2,2,9,6,0
2016-2017,Olympique Lyon,6,2,2,2,5,3,1
2016-2017,Dinamo Zagreb,6,0,0,6,0,15,0
