SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,puntos
2018-2019,AS Monaco,6,0,1,5,2,14,0
2018-2019,Atlético Madrid,8,5,1,2,11,9,0
2018-2019,Club Brugge KV,6,1,3,2,6,5,1
2018-2019,Borussia Dortmund,8,4,1,3,10,6,0
2018-2019,FC Barcelona,12,8,3,1,26,10,0
2018-2019,PSV Eindhoven,6,0,2,4,6,13,1
2018-2019,Inter,6,2,2,2,6,7,1
2018-2019,Tottenham Hotspur,13,6,2,5,20,19,0
2018-2019,Liverpool FC,13,8,1,4,24,12,3
2018-2019,Paris Saint-Germain,8,4,2,2,20,12,0
2018-2019,Crvena Zvezda,6,1,1,4,5,17,0
2018-2019,SSC Napoli,6,2,3,1,7,5,0
2018-2019,FC Schalke 04,8,3,2,3,8,14,0
2018-2019,FC Porto,10,6,1,3,20,15,0
2018-2019,Galatasaray,6,1,1,4,5,8,0
2018-2019,Lokomotiv Moskva,6,1,0,5,4,12,0
2018-2019,AFC Ajax,12,6,4,2,22,13,0
2018-2019,AEK Athen,6,0,0,6,2,13,0
2018-2019,SL Benfica,6,2,1,3,6,11,3
2018-2019,Bayern München,8,4,3,1,16,8,0
2018-2019,Shakhtar Donetsk,6,1,3,2,8,16,1
2018-2019,1899 Hoffenheim,6,0,3,3,11,14,0
2018-2019,Manchester City,10,7,1,2,30,12,3
2018-2019,Olympique Lyon,8,1,6,1,13,16,0
2018-2019,Real Madrid,8,5,0,3,15,10,0
2018-2019,AS Roma,8,4,0,4,14,12,0
2018-2019,Viktoria Plzeň,6,2,1,3,7,16,3
2018-2019,CSKA Moskva,6,2,1,3,8,9,3
2018-2019,Valencia CF,6,2,2,2,6,6,3
2018-2019,Juventus,10,5,1,4,14,9,0
2018-2019,BSC Young Boys,6,1,1,4,4,12,3
2018-2019,Manchester United,10,4,1,5,10,11,0
