SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,puntos
2021-2022,Manchester City,12,7,2,3,29,16,0
2021-2022,RB Leipzig,6,2,1,3,15,14,3
2021-2022,Club Brugge KV,6,1,1,4,6,20,0
2021-2022,Paris Saint-Germain,8,4,2,2,15,11,0
2021-2022,Atlético Madrid,10,3,3,4,9,10,1
2021-2022,FC Porto,6,1,2,3,4,11,0
2021-2022,Liverpool FC,13,10,1,2,30,14,0
2021-2022,AC Milan,6,1,1,4,6,9,0
2021-2022,Beşiktaş,6,0,0,6,3,19,0
2021-2022,Borussia Dortmund,6,3,0,3,10,11,3
2021-2022,Sporting CP,8,3,1,4,14,17,1
2021-2022,AFC Ajax,8,6,1,1,22,8,0
2021-2022,FC Sheriff,6,2,1,3,7,11,1
2021-2022,Shakhtar Donetsk,6,0,2,4,2,12,1
2021-2022,Inter,8,4,1,3,9,7,3
2021-2022,Real Madrid,13,9,0,4,29,14,3
2021-2022,FC Barcelona,6,2,1,3,2,9,0
2021-2022,Bayern München,10,7,2,1,31,7,1
2021-2022,Dinamo Kiev,6,0,1,5,1,11,0
2021-2022,SL Benfica,10,3,4,3,14,17,1
2021-2022,BSC Young Boys,6,1,2,3,7,12,1
2021-2022,Manchester United,8,3,3,2,12,10,0
2021-2022,Villarreal CF,12,5,3,4,20,16,0
2021-2022,Atalanta,6,1,3,2,12,13,0
2021-2022,Sevilla FC,6,1,3,2,5,5,0
2021-2022,RB Salzburg,8,3,2,3,10,14,0
2021-2022,Lille OSC,8,3,2,3,8,8,0
2021-2022,VfL Wolfsburg,6,1,2,3,5,10,0
2021-2022,Chelsea FC,10,7,1,2,21,10,3
2021-2022,Zenit St. Petersburg,6,1,2,3,10,10,1
2021-2022,Malmö FF,6,0,1,5,1,14,0
2021-2022,Juventus,8,5,1,2,11,10,0
