SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,puntos
2019-2020,Club Brugge KV,6,0,3,3,4,12,0
2019-2020,Galatasaray,6,0,2,4,1,14,0
2019-2020,Paris Saint-Germain,11,8,1,2,25,6,0
2019-2020,Real Madrid,8,3,2,3,16,12,0
2019-2020,Olympiakos Piraeus,6,1,1,4,8,14,3
2019-2020,Tottenham Hotspur,8,3,1,4,18,18,0
2019-2020,Bayern München,11,11,0,0,43,8,3
2019-2020,Crvena Zvezda,6,1,0,5,3,20,0
2019-2020,Shakhtar Donetsk,6,1,3,2,8,13,0
2019-2020,Manchester City,9,6,2,1,21,9,0
2019-2020,Dinamo Zagreb,6,1,2,3,10,13,0
2019-2020,Atalanta,9,4,1,4,17,18,0
2019-2020,Atlético Madrid,9,5,1,3,13,9,0
2019-2020,Juventus,8,6,1,1,14,6,3
2019-2020,Bayer Leverkusen,6,2,0,4,5,9,0
2019-2020,Lokomotiv Moskva,6,1,0,5,4,11,0
2019-2020,SSC Napoli,8,3,4,1,13,8,0
2019-2020,Liverpool FC,8,4,1,3,15,12,0
2019-2020,RB Salzburg,6,2,1,3,16,13,0
2019-2020,KRC Genk,6,0,1,5,5,20,0
2019-2020,Inter,6,2,1,3,10,9,0
2019-2020,Slavia Praha,6,0,2,4,4,10,0
2019-2020,Borussia Dortmund,8,4,1,3,10,11,0
2019-2020,FC Barcelona,9,5,3,1,15,14,0
2019-2020,Olympique Lyon,10,4,2,4,14,14,0
2019-2020,Zenit St. Petersburg,6,2,1,3,7,9,0
2019-2020,SL Benfica,6,2,1,3,10,11,3
2019-2020,RB Leipzig,10,6,2,2,16,12,0
2019-2020,Chelsea FC,8,3,2,3,12,16,0
2019-2020,Valencia CF,8,3,2,3,13,15,0
2019-2020,AFC Ajax,6,3,1,2,12,6,0
2019-2020,Lille OSC,6,0,1,5,4,14,0
