SEASON,equipo,p_jugados,p_ganados,p_empatados,p_perdidos,goles_a_favor,goles_en_contra,diferencia_de_goles,puntos_total
2021-2022,Atlético Madrid,5,0,3,2,3,5,-2,3.0
2021-2022,BSC Young Boys,3,1,1,1,6,8,-2,4.0
2021-2022,Bayern München,5,4,1,0,21,4,17,13.0
2021-2022,Beşiktaş,3,0,0,3,3,8,-5,0.0
2021-2022,Borussia Dortmund,3,2,0,1,7,3,4,6.0
2021-2022,Chelsea FC,5,4,0,1,12,3,9,12.0
2021-2022,Club Brugge KV,3,0,1,2,2,11,-9,1.0
2021-2022,Dinamo Kiev,3,0,1,2,1,3,-2,1.0
2021-2022,FC Barcelona,3,1,1,1,1,3,-2,4.0
2021-2022,FC Porto,3,1,0,2,3,8,-5,3.0
2021-2022,FC Sheriff,3,1,0,2,3,6,-3,3.0
2021-2022,Inter,4,2,0,2,5,4,1,6.0
2021-2022,Juventus,4,3,0,1,6,5,1,9.0
2021-2022,Lille OSC,4,1,2,1,2,2,0,5.0
2021-2022,Liverpool FC,7,4,1,2,12,7,5,13.0
2021-2022,Malmö FF,3,0,1,2,1,5,-4,1.0
2021-2022,Manchester City,6,5,1,0,17,8,9,16.0
2021-2022,Manchester United,4,2,1,1,6,5,1,7.0
2021-2022,Paris Saint-Germain,4,4,0,0,10,3,7,12.0
2021-2022,RB Leipzig,3,1,1,1,5,5,0,4.0
2021-2022,RB Salzburg,4,3,1,0,7,3,4,10.0
2021-2022,Real Madrid,6,4,0,2,13,8,5,12.0
2021-2022,SL Benfica,5,2,1,2,8,9,-1,7.0
2021-2022,Sevilla FC,3,1,1,1,4,3,1,4.0
2021-2022,Shakhtar Donetsk,3,0,2,1,1,6,-5,2.0
2021-2022,Sporting CP,4,2,0,2,8,11,-3,6.0
2021-2022,VfL Wolfsburg,3,1,1,1,4,5,-1,4.0
2021-2022,Villarreal CF,6,2,2,2,8,8,0,8.0
2021-2022,Zenit St. Petersburg,3,1,1,1,7,4,3,4.0
2022-2023,AC Milan,6,4,0,2,9,5,4,12.0
2022-2023,AFC Ajax,3,1,0,2,5,9,-4,3.0
2022-2023,AtlÃ©tico de Madrid,3,1,2,0,4,3,1,5.0
2022-2023,Bayer Leverkusen,3,1,1,1,2,3,-1,4.0
2022-2023,Bayern München,5,4,1,0,12,1,11,13.0
2022-2023,Borussia Dortmund,4,2,2,0,5,1,4,8.0
2022-2023,Celtic FC,3,0,1,2,1,6,-5,1.0
2022-2023,Chelsea FC,5,3,1,1,8,4,4,10.0
2022-2023,Club Brugge KV,4,2,0,2,3,6,-3,6.0
2022-2023,Dinamo Zagreb,3,1,1,1,2,5,-3,4.0
2022-2023,Eintracht Frankfurt,4,1,1,2,2,6,-4,4.0
2022-2023,FC Barcelona,3,1,1,1,8,7,1,4.0
2022-2023,FC Copenhagen,3,0,3,0,1,1,0,3.0
2022-2023,FC Porto,4,2,1,1,4,5,-1,7.0
2022-2023,Inter,6,4,1,1,10,5,5,13.0
2022-2023,Juventus,3,1,0,2,5,5,0,3.0
2022-2023,Liverpool FC,4,3,0,1,8,6,2,9.0
2022-2023,Maccabi Haifa,3,1,0,2,4,9,-5,3.0
2022-2023,Manchester City,7,7,0,0,25,2,23,21.0
2022-2023,Olympique Marseille,3,1,0,2,5,4,1,3.0
2022-2023,Paris Saint-Germain,4,2,1,1,10,5,5,7.0
2022-2023,RB Leipzig,4,2,1,1,8,8,0,7.0
2022-2023,RB Salzburg,3,1,1,1,3,3,0,4.0
2022-2023,Rangers,3,0,0,3,2,13,-11,0.0
2022-2023,Real Madrid,6,5,1,0,13,3,10,16.0
2022-2023,SL Benfica,5,3,1,1,12,7,5,10.0
2022-2023,SSC Napoli,5,4,1,0,15,4,11,13.0
2022-2023,Sevilla FC,3,1,0,2,4,8,-4,3.0
2022-2023,Shakhtar Donetsk,3,0,2,1,2,6,-4,2.0
2022-2023,Sporting CP,3,1,0,2,3,4,-1,3.0
2022-2023,Tottenham Hotspur,4,2,2,0,6,3,3,8.0
2022-2023,Viktoria PlzeÅˆ,3,0,0,3,4,10,-6,0.0
